Aberfeldie,4.2,7.3,8,8.3,7.4,24.3,28.8,3.2,2.1,2,2,2.4,"3,765",0,0,0,0,0,0,3,3,1,0,0,16.5,11.9,England,170,2.5,Italy,158,2.3,India,102,1.5,Germany,66,1,Vietnam,52,0.8,Italian,176,5.1,Greek,101,2.9,Croatian,33,1,Arabic,27,0.8,Vietnamese,26,0.7
Airport West ,6,5,4.3,4.5,6.3,31,22.6,4.6,4.9,4.5,3.8,2.3,"7,336",0,0,0,0,0,0,1,2,0,0,0,28.7,24.8,Italy,1254,9.5,India,250,1.9,Malta,226,1.7,Greece,224,1.7,England,216,1.6,Italian,940,14.1,Greek,261,3.9,Maltese,113,1.7,Mandarin,82,1.2,Sinhalese,70,1.1
Albanvale ,6.5,6.4,6.3,6.2,7.9,28.5,28.5,4.4,2.3,1.5,0.8,0.7,"5,482",0,0,0,0,0,0,1,1,0,0,0,50.8,47.3,Vietnam,1176,12.1,Malta,406,4.2,Philippines,372,3.8,Bosnia and Herzegovina,256,2.6,India,234,2.4,Vietnamese,883,18,Maltese,208,4.2,Arabic,157,3.2,Greek,139,2.8,Macedonian,138,2.8
Albert Park ,7.1,4.9,4,2.9,4.9,35.1,25.3,5.4,4.3,2.4,2,1.8,"6,394",0,0,0,60,0,34,1,1,2,0,0,26.4,14.7,England,594,5.3,Greece,556,5,New Zealand,358,3.2,United States of America,170,1.5,Ireland,106,1,Greek,525,9.4,Italian,99,1.8,French,53,0.9,German,34,0.6,Spanish,30,0.5
Albion ,6.7,4.9,4.2,4.7,10.2,38.9,19.7,3.8,2.5,2.2,1.3,0.9,"4,527",0,0,0,0,0,0,1,2,0,0,0,54.7,49.4,India,1152,14.5,Vietnam,434,5.5,China,228,2.9,Philippines,206,2.6,Malta,162,2,Punjabi,317,7.9,Vietnamese,282,7.1,Hindi,113,2.8,Italian,84,2.1,Mandarin,84,2.1
Alfredton ,7.2,8,8.4,8.9,5.8,26.4,25,3.3,2.9,1.7,1.3,1.1,"7,614",0,0,0,0,0,68,1,2,0,0,0,10.2,5.4,England,300,2.2,India,154,1.1,China,126,0.9,New Zealand,124,0.9,Scotland,62,0.4,Mandarin,73,1,Greek,49,0.7,Hindi,22,0.3,Punjabi,19,0.3,German,17,0.2
Alphington ,6.2,6.2,6.7,4.9,6.2,30.9,27.7,3.3,2.2,1.9,1.3,2.3,"4,893",0,0,0,0,45,27,3,2,0,1,0,22.1,14.4,England,342,3.9,Greece,232,2.6,Italy,228,2.6,New Zealand,144,1.6,India,134,1.5,Greek,277,6.2,Italian,180,4,Mandarin,45,1,Macedonian,39,0.9,German,38,0.9
Altona Meadows ,6.2,5.1,5.2,6.5,8,30.7,27,3.8,2.8,2.2,1.3,1.1,"19,507",0,0,1,135,75,0,3,3,0,0,0,36.9,30.2,India,1304,3.7,Malta,1142,3.2,England,936,2.6,Philippines,856,2.4,Vietnam,852,2.4,Arabic,590,3.3,Maltese,574,3.2,Italian,571,3.2,Vietnamese,554,3.1,Greek,543,3
Altona North ,7,5.6,5.2,5.4,5.8,29.5,18.9,4.9,5.5,5.2,3.8,3.1,"12,026",0,0,0,204,120,0,3,2,1,0,0,44.1,39.1,Italy,1260,6,Lebanon,950,4.6,Greece,918,4.4,Vietnam,848,4.1,Malta,576,2.8,Arabic,1560,14.9,Italian,874,8.3,Greek,743,7.1,Vietnamese,505,4.8,Maltese,308,2.9
Altona ,5.8,4.8,4.2,4.4,5.4,29.7,25.6,5.2,3.9,4.4,3.7,2.8,"10,429",0,1,0,0,0,0,3,2,1,1,0,32.1,19.7,England,1100,5.8,Malta,558,3,India,476,2.5,New Zealand,454,2.4,Italy,308,1.6,Italian,247,2.6,Maltese,242,2.6,Mandarin,155,1.6,Greek,154,1.6,Vietnamese,102,1.1
